filename,cloc,go-enry,guesslang,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Erlang,3.41116755032,0.44822677916,40.007326692919996,0.25434566156,6.973512369440001,1.2284991206,3.81121887408,2.11795414968
Euphoria,2.2449959842,0.2948432126,24.5892975824,0.16054901060000001,4.552581910400001,0.786033329,2.5220457858,1.2853304568
F#,1.7206882351600001,0.20730214508,20.12188913896,0.12503081627999998,3.79132149572,0.6584032568,1.8234921090400003,1.14322265384
FIGlet Font,0.21678917952,0.02565365876,2.4304827021400004,0.015816635659999998,0.45873919084000003,0.0764663931,0.21540187638000002,0.12592602948
FIRRTL,0.42363660204,0.05760977852,5.17573552524,0.030856690319999998,0.87297742568,0.1513626192,0.50358778776,0.25797370396
FLUX,0.85688948608,0.11575405704,10.06227704648,0.06309211264,2.5736960263600004,0.3493019524,0.9527904465200001,0.53117728992
Fantom,0.42785124403999997,0.05723715152,5.32866350724,0.029959812320000005,0.90547766368,0.1535168822,0.47855112476000006,0.26226276996
Faust,0.43023340904,0.051701543520000004,4.90296384324,0.03116535232,0.8889411766800001,0.1844990822,0.49445190376000003,0.26114988596
Fennel,0.42874764604000004,0.05569036452000001,5.24764295924,0.03123841332,0.90697172268,0.1721046102,0.5203102337600001,0.27119274496
Filebench WML,0.21289472252,0.02820619176,2.57552059512,0.01588108366,0.46483265184000006,0.0970652011,0.22535420038000004,0.13253356248
Filterscript,0.43048529704000005,0.05000262452,5.0433201272399995,0.03170194132,0.92673761768,0.17327448420000002,0.44684691976,0.28541241496
Fluent,1.0759218336,0.1381849228,12.846900999599999,0.0790795553,2.3771372052000004,0.38263771850000006,1.3198651269000001,0.6545867214000001
Formatted,0.66852122056,0.18645153328000003,7.85820151036,0.046695381980000006,1.84951028352,0.24735354730000003,1.9189107971400001,0.39807453544
Forth,3.44024216732,0.44153677116,41.01797361392,0.25246955156,7.253332050440001,1.2566952666,4.138706214080001,2.10411786568
Fortran,1.0768457366000002,0.1413582608,12.4375542946,0.0786344763,2.2337653542,0.3820758965,1.1414007899,0.6513369544000001
FreeBASIC,0.85557106408,0.10951406604,10.25620654948,0.06347636064,1.8625113673600002,0.3342341164,0.9903474785200002,0.56275865092
FreeMarker,0.43016015104000005,0.05568262952,4.959951866280001,0.029817804320000002,0.9347577516800001,0.17571410320000003,0.44154863276,0.25328375595999997
Frege,0.88266230808,0.10762169804,9.932779244479999,0.06537779164,1.80403987936,0.3144181354,1.0126344365200002,0.53220167892
Fstar,0.64095644956,0.07986203428,7.38054800936,0.04825630098,1.3222620365200002,0.26308943030000004,0.7689417781400001,0.39877491844
Futhark,0.21237996852000002,0.02857550876,2.46286181812,0.01563302666,0.45977289984,0.0764504721,0.24986594238000004,0.13211839048
G-code,0.63995018756,0.08398844628,7.418581146359999,0.04514344898,1.40245836652,0.2339229403,0.7685313651400001,0.43495632644
GAML,1.27802602812,0.16489808656,15.037835510719999,0.09671537095999999,2.73752920604,0.4751982756,1.6216500842800001,0.78928980988
GAMS,0.21453170952,0.02740000776,2.5270100691199997,0.01598541266,0.42923855884,0.0781972991,0.23753294938000002,0.12581552148
GAP,1.94047653068,0.23063643684000001,22.22117830008,0.13929055794,4.19960173056,0.7408668729000001,2.1275727474200004,1.20039103432
GCC Machine Description,0.24676988152,0.04073572976,2.48505632514,0.01849999466,0.49353140884,0.0771381601,0.21532130238000002,0.14446820148
GDB,0.42710011104,0.05376235252,4.85262378224,0.03204079632,0.9115966766800001,0.19171660020000003,0.48911530676000003,0.26421806096
GDScript,0.8648710230800001,0.11304459704,10.24267392048,0.06330993464000001,1.8832476913600003,0.30614993840000004,0.71021977652,0.52765673392
GEDCOM,0.21231106252,0.02938691376,2.5718065851199996,0.015730083659999998,0.51170718084,0.0854667771,0.52342217238,0.13031766548
GLSL,4.2989530814000005,0.5350427862,49.600848981800006,0.3101916692,9.792741340800001,1.7053723440000002,4.9624039666,2.5650818126
