filename,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Golo,5.282368287960001,0.6272135577600001,0.30607725824000004,10.63977609766,1.6480963079200002,6.26352378094,3.5828110546600005
Gosu,0.9809001094,0.11765016340000001,0.0567370386,2.1901355409,0.30786258780000003,1.1770159391,0.6645205729000001
Grace,0.39360863796,0.04842528176000001,0.02330893324,0.79451988616,0.12284587292,0.47935262144,0.2614114591600001
Gradle,0.39688335096000005,0.04860137576000001,0.024246086240000003,0.79044822916,0.11977904691999999,0.45366962244000003,0.26691803616000004
Gradle Kotlin DSL,0.19853882348000002,0.022154906880000002,0.01125276712,0.39884239558,0.06384533996000001,0.22028719922,0.13380697558000001
Grammatical Framework,8.017076516680001,0.9676057530800002,0.47722386092,16.16022008678,2.50154506736,9.12006111502,5.318213686780001
Graph Modeling Language,0.5974226434400001,0.07332304964000001,0.033405554360000006,1.22139644874,0.18441554088,0.6674877746600001,0.39013705774000007
GraphQL,0.7822471509200001,0.09503983852,0.04583801748,1.58600776732,0.25641640084,1.24535079788,0.5197956303200001
Graphviz (DOT),0.39116645796000005,0.04712555376000001,0.02193571624,0.79154462216,0.12477901092000002,0.43974122044,0.26116223716000003
Groovy,1.17695408288,0.15502569928,0.07136930272,2.35838116448,0.37673864276,1.24531504432,0.7772747514800001
Groovy Server Pages,0.77934933392,0.09377805852000001,0.04739913048,1.57614055632,0.24878108784000003,0.88867164888,0.5298785693200001
HAProxy,0.7862359889200001,0.09719311752000001,0.04540911448,2.17269240332,0.25259105584,0.92673427088,0.53265899232
HCL,1.16342395488,0.14125541928000002,0.07317141672,2.56507390948,0.37197782476,1.4190257913200002,0.7925257034800002
HLSL,0.9820343724,0.12035470040000001,0.0571779576,2.5864601359000003,0.3013746778,1.2640946001,0.6486883539000001
HOCON,0.78794887292,0.09669749852000001,0.046964340480000005,1.57964366832,0.25724587084,0.9486560798800001,0.5181160843200001
HTML,1.56780184584,0.18684913504000003,0.09277369196000002,3.57053732864,0.49112913368,1.97288145576,1.0651540346400001
